t,x,v
0.20422142801434626,1.8704004124331206,-1.765596912116682
0.2907960510112809,1.6270533480057399,-2.401016342484258
0.3133616082838385,1.5030496228181904,-2.784673266536333
0.32709015767463434,1.5332498806967836,-2.7993195474725336
0.4392816984774438,1.2200198394582042,-3.4568318991588765
0.45976592910074054,1.07648879758527,-3.4443526207631434
0.4917815603824857,0.9845986623449908,-3.5660128205356076
0.5346202955862637,0.8365421067773884,-3.569823973368559
0.6102204839627297,0.522099185381361,-3.6370143775169326
0.6191935246080955,0.5471046055135206,-3.635120936622002
0.6204400259155631,0.5107678793595533,-3.843244146820774
0.6617728643644736,0.37626869262876866,-3.818019631880287
0.7173546099298136,0.11235450581277319,-3.9391836738056325
0.7203603683989793,0.11954992684115401,-3.8430035438024692
0.7233921399031384,0.1558650034056501,-3.6517347083938776
0.753395036008679,-0.0010928267249233486,-3.537116441634928
0.773957494073201,0.00941648404914476,-3.798026334451558
1.0081389591696936,-0.8441984163619654,-2.8041280201588417
1.0320302072950287,-0.8825146580624883,-2.609631682632549
1.0991461055801395,-1.014966676390427,-2.169499306390271
1.1311609467194563,-1.1786853095273648,-2.0772638486971826
1.155351070824352,-1.2388580506429998,-1.785214656568687
1.195419457233661,-1.2968907601409683,-1.6055434887866569
1.2266883106721274,-1.2273561796414028,-1.3376227198256752
1.2391882849667961,-1.3180943577026207,-1.189707161140968
1.2798958754298833,-1.2350190013813382,-0.9558025679585919
1.3652279285415738,-1.4188529728467414,-0.38907325959283395
1.6218493229187474,-1.2519205238155064,1.3273931012700746
1.6454682092481634,-1.162778395755571,1.459661444337359
1.6792260886079333,-1.0909750540296412,1.6060924604742635
1.7109114240282173,-1.0340259544012145,1.7722108952749376
1.73243813652268,-1.0292509449286398,2.0670616340705905
1.8692520162254151,-0.7406831481387012,2.450497535017977
1.8878702397530773,-0.7134510712951261,2.408190982371222
1.9030553826812486,-0.6685081842912216,2.5492074481655953
1.9609306874398142,-0.5766024914808636,2.548529743823418
2.0727830018494915,-0.29250093262375204,2.787374507347611
2.098258732699528,-0.19118052813756067,2.696946819380069
2.100262411722622,-0.19270953119435386,2.6457830084554668
2.1332191840986323,-0.11705911209687508,2.6841771664612675
2.180032239011664,0.0526395532940111,2.4182198274207685
2.1933460233738877,0.09760098342004739,2.445323764734696
2.2986801985749783,0.32136725361827084,2.20900999040299
2.3673719447811314,0.5318047603548125,2.13800664813781
2.3694462098687312,0.4285320910484356,2.2991315276914492
2.395544255262494,0.5214532301243335,2.259213136337342
2.48863697242268,0.6711288952526714,1.7167204188000833
2.521169265573359,0.6751685842745591,1.5581448200256207
2.5442790134205304,0.7820047022167619,1.2087956695736364
2.5685798603694847,0.8130295695810882,1.2281599958842073
2.6593739645311785,0.9772094123961057,0.7586919381683007
2.6601782893919945,0.9416140666279814,0.772339047700269
2.705372656271968,0.9063853251447765,0.5929722178827231
2.772388775764074,1.0544000173595325,0.2226469337418189
2.8335162215105854,1.0356039892016418,-0.240898644346334
2.9151863289726383,0.990418299587031,-0.3425102756115255
2.9586306471180763,0.9344813721653408,-0.7314904834363088
2.9842603473120195,0.8870718614663722,-0.7039212590275268
3.008588850018566,0.8922212670044247,-0.6119272493513702
3.034169381021209,0.9296907339505829,-1.0321359301816957
3.0464452483823043,0.9506298783388305,-1.250696004099035
3.057578472186221,0.9254213976953035,-1.0559917806554338
3.0702530009520816,0.8286056013503043,-0.9568981706975442
3.1681560386012673,0.6810460447462728,-1.1924869821694462
3.2280379497117067,0.6441017765945092,-1.689907126399331
3.2500592254899083,0.5306844172358282,-1.558115687437266
3.34393005329513,0.45690999564993845,-1.825995550145416
3.430781541457993,0.2792089624131314,-1.867446139607954
3.436837727724402,0.2548566382734066,-1.5792183275042189
3.49720872413748,0.0957153481501847,-2.0275631564201735
3.5210326188034857,0.13792426252762627,-1.8361516768158856
3.5355452877174622,0.06791867704635465,-1.8074582101586054
3.5437138843384677,0.026569705553159788,-1.73788636597475
3.5557943402889394,-0.0657486976872974,-1.835042216660005
3.605854632884276,-0.04013150723274246,-1.7687224666980508
3.668834806218329,-0.0770204913289585,-1.7572410437046435
3.6843524495296607,-0.10800415479979063,-1.6614043385154145
3.6893450517239614,-0.20350713001519677,-1.717460322585481
3.7384094989820564,-0.2896728880179468,-1.519868849601806
3.8099904562410853,-0.3533764539455621,-1.456438349654987
3.822222536429368,-0.4308711644442405,-1.3455685536454567
3.90316496533961,-0.4805252669387715,-1.1577937067524695
3.9738610867572457,-0.5352223831974352,-0.8109538129258709
4.095116801047641,-0.603904674838644,-0.518845517682714
4.119013238248185,-0.6697028018570732,-0.616478574268206
4.122243188528633,-0.6753579741616956,-0.28390940799337594
4.209331820573974,-0.7260253592094068,-0.2052073374978131
4.245674272165867,-0.7256472501804595,-0.05198808656919319
4.318403076137966,-0.6908207476276524,0.19937443596927962
4.324986376239245,-0.6646193213629845,0.4293375991857227
4.342357422327122,-0.6367830009054846,0.11405451181386322
4.42723981165466,-0.6672479605284041,0.930249783229669
4.521886435302613,-0.503867251490483,0.9601490316092777
4.525769505396361,-0.5730385216946264,0.8812575090781625
4.572323041280317,-0.5203431251743034,0.9566113423189082
4.684564728753773,-0.4302038668586516,1.1918030177833687
4.688140012032105,-0.4949827553504459,1.2217378351019714
4.749483220658661,-0.2850580011905476,1.308041880352814
4.8128476067392425,-0.2108843380996956,1.3476297461807527
4.850096661973011,-0.20440540702930488,1.3144249231163698
4.851196248727085,-0.18865131494735737,1.2844249818099525
4.8637043955076,-0.15384392056768248,1.2925396464793046
4.954366322451115,-0.12054770576816913,1.2807048353461878
4.969544549294666,-0.058351807796979877,1.4149431085227295
5.087714839929802,0.1443347076061705,1.2611307913580712
5.148195114122209,0.13032703078315755,0.8077443350767165
5.1946803202281115,0.24430100647067887,1.11496982936435
5.257557026381745,0.23862132541063755,0.9520067221024008
5.261379453099838,0.3171232256119656,0.9220054635130228
5.268792189378924,0.3032544383055577,0.8682672972597857
5.287032821624245,0.2545462443777854,0.9915963873349147
